f (N),th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s),x (m),vx (m/s),a1 (rad/s^2),a2 (rad/s^2),ax (m/s^2)
-5.9449689278873485,2.337343268196219,2.0785858857273984,3.408385252379352,-0.2418710298417097,0.0,0.0,-6.620105166533584,1.9893183307254405,-1.1876929386881054
-5.9449689278873485,2.358129127053493,2.0123848340620625,3.405966542080935,-0.2219778465344553,0.0,-0.011876929386881055,-6.6462463659136,1.9307873681054213,-1.0575548545041522
-5.9449689278873485,2.3782529753941137,1.9459223704029265,3.4037467636155907,-0.20266997285340108,-0.00011876929386881055,-0.02245247793192258,-6.6672419721965355,1.875572089279554,-0.9359373986863785
-5.9449689278873485,2.397712199098143,1.8792499506809612,3.4017200638870566,-0.18391425196060554,-0.00034329407318803637,-0.03181185191878637,-6.6829603487586535,1.8238597029322436,-0.8226662849935927
-5.9449689278873485,2.4165046986049528,1.8124203471933746,3.3998809213674503,-0.1656756549312831,-0.0006614125923759001,-0.0400385147687223,-6.69332683506617,1.7758473809180573,-0.7175272350612557
-5.9449689278873485,2.4346289020768865,1.745487078842713,3.3982241648181377,-0.14791718112210253,-0.001061797740063123,-0.047213787119334855,-6.698326001027629,1.7317347608722446,-0.6202683488583057
-5.9449689278873485,2.4520837728653135,1.6785038188324368,3.3967449930069167,-0.1305998335133801,-0.0015339356112564714,-0.05341647060791791,-6.698002909491245,1.691716598552518,-0.5306031743940419
-5.9449689278873485,2.468868811053638,1.6115237897375243,3.3954389946717827,-0.11368266752785491,-0.0020681003173356506,-0.05872250235185833,-6.692463316358127,1.6559757654680893,-0.44821439119545076
-5.9449689278873485,2.4849840489510133,1.544599156573943,3.394302167996504,-0.09712290987317401,-0.0026553253408542338,-0.06320464626381284,-6.681872771262722,1.6246767884993942,-0.3727580044037679
-5.9449689278873485,2.5004300405167528,1.4777804288613157,3.393330938897772,-0.08087614198818008,-0.003287371803492362,-0.06693222630785052,-6.666454617252338,1.5979601180387941,-0.303867932814147
-5.9449689278873485,2.515207844805366,1.4111158826887924,3.39252217747789,-0.06489654080779214,-0.003956694066570867,-0.069970905635992,-6.646486923533578,1.575937290220646,-0.24116086564922642
-5.9449689278873485,2.5293190036322537,1.3446510134534566,3.3918732120698123,-0.04913716790558568,-0.004656403122930787,-0.07238251429248425,-6.622298419282857,1.558687118373843,-0.18424125980090142
-5.9449689278873485,2.5427655137667884,1.278428029260628,3.3913818403907565,-0.03355029672184725,-0.00538022826585563,-0.07422492689049327,-6.594263527004207,1.546253010914383,-0.13270635178576695
-5.9449689278873485,2.5555497940593948,1.212485393990586,3.3910463374235382,-0.018087766612703417,-0.0061224775347605625,-0.07555199040835094,-6.562796619480363,1.5386414699960969,-0.08615106643989019
-5.9449689278873485,2.5676746479993007,1.1468574277957824,3.390865459757411,-0.0027013519127424487,-0.006877997438844072,-0.07641350107274984,-6.5283456438844025,1.5358217801305494,-0.044172716781282574
-5.9449689278873485,2.5791432222772586,1.0815739713569383,3.3908384462382837,0.012656865888563046,-0.00764213244957157,-0.07685522824056266,-6.491385269414016,1.5377268514842906,-0.006375405569967851
-5.9449689278873485,2.589958961990828,1.0166601186627982,3.3909650148971693,0.02803413440340595,-0.008410684731977197,-0.07691898229626234,-6.452409720653532,1.5442551412738026,0.02762594221174915
-5.9449689278873485,2.600125563177456,0.9521360214562629,3.3912453562412033,0.04347668581614397,-0.00917987455493982,-0.07664272287414485,-6.411925457985957,1.555273540812424,0.05820196664358609
-5.9449689278873485,2.6096469233920185,0.8880167668764033,3.3916801230993645,0.059029421224268214,-0.009946301783681269,-0.076060703207709,-6.370443859391691,1.5706210869721982,0.08570571028283003
