f (N),th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s),x (m),vx (m/s),a1 (rad/s^2),a2 (rad/s^2),ax (m/s^2)
5.150608117361948,4.739559151350125,0.6035935659168808,5.00408135716144,0.7334901517964821,0.0,0.0,9.789572778614431,18.12298841310663,7.710905152149707
5.150608117361948,4.745595087009294,0.7014892937030252,5.011416258679405,0.9147200359275485,0.0,0.07710905152149708,9.785881705809624,18.04982784741158,7.721125048169828
5.150608117361948,4.752609979946324,0.7993481107611213,5.02056345903868,1.0952183144016643,0.0007710905152149708,0.15432030200319535,9.784893361134143,17.95734082976336,7.727150269040714
5.150608117361948,4.760603461053935,0.8971970443724627,5.031515642182697,1.274791722699298,0.0023142935352469243,0.2315918046936025,9.786970334475003,17.845021287653765,7.728532383598735
5.150608117361948,4.7695754314976595,0.9950667477172127,5.04426355940969,1.4532419355758357,0.00463021158218295,0.3088771285295898,9.792559018051788,17.71224232006601,7.724734005122149
5.150608117361948,4.779526098974832,1.0929923378977306,5.058795978765448,1.6303643587764958,0.007718982867478848,0.3861244685808113,9.802170990227978,17.55826917805982,7.715146792256717
5.150608117361948,4.790456022353809,1.1910140478000104,5.075099622353213,1.805947050557094,0.011580227553286962,0.46327593650337845,9.816361026960905,17.38227514828754,7.699112670854324
5.150608117361948,4.8023661628318095,1.2891776580696195,5.093159092858784,1.9797698020399694,0.016212986918320745,0.5402670632119216,9.83570221352999,17.18336020431564,7.67594778449548
5.150608117361948,4.815257939412506,1.3875346802049193,5.112956790879183,2.151603404083126,0.02161565755043996,0.6170265410568765,9.8607587393139,16.960572224733706,7.644968572009181
5.150608117361948,4.829133286214555,1.4861422675980582,5.134472824920015,2.321209126330463,0.027785922961008725,0.6934762267769683,9.892057080521818,16.71293048979793,7.6055192509773315
5.150608117361948,4.843994708890535,1.5850628384032763,5.157684916183319,2.4883384312284424,0.03472068522877841,0.7695314192867416,9.93005640448628,16.439451061253003,7.556999862039345
5.150608117361948,4.859845337274568,1.684363402448139,5.182568300495603,2.6527329418409726,0.042415999421645825,0.8451014179071351,9.975119155840696,16.1391735269415,7.498893907427131
5.150608117361948,4.87668897129905,1.7841145940065462,5.209095629914013,2.814124677110388,0.05086701360071717,0.9200903569814064,10.027482898189954,15.81118845950429,7.430794508653076
5.150608117361948,4.894530117239115,1.8843894229884457,5.237236876685117,2.9722365617054307,0.06006791717053124,0.9943983020679371,10.087234571028677,15.454664806359883,7.352427924756515
5.150608117361948,4.913374011468999,1.9852617686987324,5.266959242302171,3.1267832097690293,0.07001190019121062,1.0679225813155022,10.154288365767574,15.068876308291815,7.263673227350689
5.150608117361948,4.933226629155986,2.0868046523564083,5.298227074399861,3.2774719728519477,0.08069112600436565,1.140559313589009,10.228368412222785,14.653225950492631,7.164576935388126
5.150608117361948,4.95409467567955,2.189088336478636,5.3310017941283805,3.4240042323568742,0.09209671914025575,1.2122050829428903,10.308997385458534,14.20726739802749,7.055361483240726
5.150608117361948,4.975985559044337,2.292178310333221,5.36524183645195,3.566076906337149,0.10421876996968465,1.2827586977752976,10.395491984405915,13.730722372351227,6.936426539552387
5.150608117361948,4.998907342147669,2.39613323017728,5.400902605515321,3.7033841300606616,0.11704635694743763,1.3521229631708214,10.48696599647605,13.223492999775,6.808342415858879
5.150608117361948,5.022868674449442,2.5010028901420407,5.437936446815928,3.8356190600584115,0.13056758657914586,1.4202063873294102,10.58234135259758,12.685668315930204,6.67183510147392
5.150608117361948,5.047878703350863,2.6068263036680164,5.476292637416512,3.9624757432177136,0.14476965045243995,1.4869247383441493,10.680367209585597,12.117524346186835,6.527762825658286
5.150608117361948,5.073946966387543,2.7136299757638724,5.51591739484869,4.083650986679582,0.15963889783588145,1.552202366600732,10.779646694766061,11.519517497813053,6.377084463108543
5.150608117361948,5.1010832661451815,2.821426442711533,5.556753904715485,4.198846161657713,0.17516092150188878,1.6159732112318175,10.878670541525404,10.892271385337027,6.220820540886119
5.150608117361948,5.1292975305722965,2.930213148126787,5.598742366332062,4.307768875511083,0.19132065361420694,1.6781814166406788,10.975856468332118,10.23655764920728,6.060008045345152
5.150608117361948,5.158599662053565,3.0399717128101083,5.641820055087173,4.410134452003155,0.20810246778061373,1.7387814970941302,11.069592842765179,9.553271797266117,5.8956506350410764
5.150608117361948,5.1889993791816655,3.15066764123776,5.685921399607205,4.505667169975816,0.22549028275155503,1.797738003444541,11.15828495768057,8.84340557375125,5.7286662092864375
5.150608117361948,5.2205060555940435,3.2622504908145658,5.7309780713069625,4.594101225713329,0.24346766278600043,1.8550246655374054,11.24040215299227,8.108017816818062,5.559834035476595
5.150608117361948,5.253128560502189,3.3746545123444887,5.776919083564096,4.67518140388151,0.2620179094413745,1.9106230058921714,11.314524057398012,7.348206181741757,5.389743782627799
5.150608117361948,5.286875105625634,3.4877997529184688,5.823670897602911,4.748663465698927,0.2811241395002962,1.9645204437184494,11.379384401469144,6.565082468021231,5.2187488350181175
5.150608117361948,5.321753103154818,3.60159359693316,5.8711575322599,4.814314290379139,0.30076934393748067,2.0167079320686305,11.433911156554476,5.759754587190055,5.046926171208974
5.150608117361948,5.3577690391241495,3.7159327084987046,5.919300675163692,4.87191183625104,0.32093642325816696,2.0671771937807204,11.477262162241805,4.933318444048316,4.874044904298622
5.150608117361948,5.394928366209137,3.8307053301211225,5.968019793526202,4.921245020691523,0.3416081951959742,2.1159176428237068,11.50885589051963,4.086863181459982,4.699545313007376
