f (N),th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s),x (m),vx (m/s)
4.53352238273623,1.2005454148554753,-1.6618821079984747,0.302952642472437,2.1727058642211294,0.0,0.0
4.53352238273623,1.1839265937754906,-1.7573166669227338,0.3246797011146483,2.122630401100291,0.0,-0.0030863546523728553
4.53352238273623,1.1663534271062632,-1.8512707458846567,0.3459060051256512,2.0679841184370957,-3.0863546523728555e-05,-0.009844253535798212
4.53352238273623,1.1478407196474167,-1.943519597162533,0.3665858463100221,2.0086379659660403,-0.00012930608188171068,-0.02039731953251089
4.53352238273623,1.1284055236757915,-2.0338307058095673,0.38667222596968254,1.9444758662042625,-0.0003332792772068196,-0.03483870687914528
4.53352238273623,1.108067216617696,-2.1219659227379526,0.4061169846317252,1.8753994515360743,-0.0006816663459982724,-0.05322702885911835
4.53352238273623,1.0868475573903165,-2.2076840096730916,0.42487097914708594,1.8013330863790855,-0.0012139366345894557,-0.07558249812781231
4.53352238273623,1.0647707172935856,-2.290743546367513,0.4428843100108768,1.7222290192098424,-0.0019697616158675787,-0.10188345853641925
4.53352238273623,1.0418632818299105,-2.3709061155327054,0.4601066002029752,1.6380724722835647,-0.0029885962012317713,-0.1320635021486111
4.53352238273623,1.0181542206745835,-2.447939644529272,0.47648732492581086,1.5488864473621808,-0.0043092312227178825,-0.16600936785344123
4.53352238273623,0.9936748242292908,-2.521621748757058,0.49197618939943266,1.4547360088230332,-0.005969324901252295,-0.20355980513112498
4.53352238273623,0.9684586067417202,-2.591742894638128,0.506523549487663,1.3557318059727204,-0.008004922952563545,-0.2445055558603304
4.53352238273623,0.942541177795339,-2.6581091852364325,0.5200808675473901,1.2520326177344614,-0.010449978511166849,-0.2885905582435417
4.53352238273623,0.9159600859429746,-2.7205445736925595,0.5326011937247348,1.1438467462770183,-0.013335884093602266,-0.33551441221109823
4.53352238273623,0.888754640206049,-2.7788923322130907,0.544039661187505,1.0314321496371057,-0.01669102821571325,-0.38493607010325753
4.53352238273623,0.8609657168839181,-2.833015648455409,0.554353982683876,0.9150952815450312,-0.020540388916745825,-0.43647863760376426
4.53352238273623,0.832635560399364,-2.882797284818608,0.5635049354993263,0.7951886910615128,-0.024905175292783466,-0.4897350969800241
4.53352238273623,0.803807587551178,-2.9281383140613917,0.5714568224099414,0.6721075150089743,-0.029802526262583708,-0.5442747069598872
4.53352238273623,0.7745262044105641,-2.968956028530436,0.5781778975600312,0.5462850622390216,-0.03524527333218258,-0.5996497986955331
4.53352238273623,0.7448366441252597,-3.0051811999413776,0.5836407481824215,0.4181877322014278,-0.041241771319137914,-0.6554026796509482
4.53352238273623,0.714784832125846,-3.0367549317078666,0.5878226255044358,0.2883095264204304,-0.047795798115647395,-0.7110723770789008
4.53352238273623,0.6844172828087673,-3.063625387432288,0.59070572076864,0.15716640026370204,-0.0549065218864364,-0.7662009958554892
4.53352238273623,0.6537810289344445,-3.0857446916869202,0.592277384771277,0.025290668149229784,-0.0625685318449913,-0.8203395241586577
4.53352238273623,0.6229235820175753,-3.1030662811045753,0.5925302914527693,-0.10677437430997427,-0.07077192708657787,-0.8730529852823156
4.53352238273623,0.5918929192065295,-3.1155429378462824,0.5914625477096696,-0.2384795036696855,-0.07950245693940103,-0.9239248952980885
4.53352238273623,0.5607374898280667,-3.1231256701449595,0.5890777526729727,-0.36927424352808685,-0.08874170589238191,-0.9725610366448224
4.53352238273623,0.5295062331266172,-3.125763524628351,0.5853850102376918,-0.49861115131974854,-0.09846731625883014,-1.0185925923396963
4.53352238273623,0.49824859788033365,-3.123404332104429,0.5803988987244943,-0.6259497387286359,-0.1086532421822271,-1.061678703012437
4.53352238273623,0.46701455455928936,-3.1159963113859166,0.574139401337208,-0.7507600644866824,-0.11927002921235147,-1.101508511017744
4.53352238273623,0.4358545914454302,-3.1034903916813907,0.5666318006923412,-0.8725260424617054,-0.1302851143225289,-1.1378027462806375
4.53352238273623,0.4048196875286163,-3.0858430677944395,0.5579065402677241,-0.9907485020211628,-0.1416631417853353,-1.1703148921521684
4.53352238273623,0.3739612568506719,-3.0630195759629233,0.5479990552475125,-1.1049480253008832,-0.15336629070685698,-1.1988319513350472
4.53352238273623,0.34333106109104267,-3.034997171395588,0.5369495749945037,-1.2146675708557437,-0.16535461022020745,-1.223174816088772
4.53352238273623,0.3129810893770868,-3.0017682993108785,0.5248028992859463,-1.3194748784115797,-0.17758635838109516,-1.2431982364406726
4.53352238273623,0.282963406383978,-2.963343476160603,0.5116081505018305,-1.418964637534235,-0.1900183407455019,-1.2587903766151551
4.53352238273623,0.253329971622372,-2.919753732641682,0.49741850412648814,-1.512760395602092,-0.20260624451165343,-1.269871953603777
4.53352238273623,0.22413243429595514,-2.8710525107917424,0.4822909001704672,-1.6005161782868393,-0.2153049640476912,-1.276394961855361
4.53352238273623,0.1954219091880377,-2.8173169498849937,0.46628573838759885,-1.6819177988051834,-0.22806891366624482,-1.2783410027650008
4.53352238273623,0.16724873968918777,-2.75864853648101,0.449466560399547,-1.7566838398228448,-0.24085232369389484,-1.27571925480374
4.53352238273623,0.13966225432437768,-2.6951731300546204,0.4318997220013186,-1.8245663028782946,-0.25360951624193223,-1.268564137445275
4.53352238273623,0.11271052302383147,-2.627040405224659,0.41365405897253565,-1.8853509330320395,-0.266295157616385,-1.256932737374469
4.53352238273623,0.08644011897158488,-2.5544227736579286,0.3948005496422153,-1.9388572395138655,-0.27886448499012967,-1.2409020770802615
