f (N),th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s),x (m),vx (m/s)
-4.55051519340008,1.0869024393539581,-3.1013826080231848,1.9625070161645708,1.8771386975817057,0.0,0.0
-4.55051519340008,1.0558886132737262,-3.15233471892107,1.9812784031403878,1.7415876738594411,0.0,-0.08941210018437637
-4.55051519340008,1.0243652660845155,-3.2035663958109475,1.9986942798789822,1.6101126934699512,-0.0008941210018437637,-0.1762578835226194
-4.55051519340008,0.9923296021264061,-3.2549662380939948,2.0147954068136817,1.4823756731498878,-0.002656699837069958,-0.26062444640334975
-4.55051519340008,0.9597799397454662,-3.3064221565352234,2.029619163545181,1.358025464915804,-0.005262944301103455,-0.3425980279110894
-4.55051519340008,0.9267157181801139,-3.357825564491285,2.0431994181943387,1.2367045003521053,-0.00868892458021435,-0.42225851681307025
-4.55051519340008,0.8931374625352011,-3.409074164383163,2.05556646319786,1.1180537826482921,-0.012911509748345052,-0.49967551574318436
-4.55051519340008,0.8590467208913695,-3.4600737050982344,2.0667470010243427,1.0017165510037707,-0.017908264905776898,-0.5749056621533414
-4.55051519340008,0.8244459838403871,-3.51073901068076,2.0767641665343803,0.8873409130048019,-0.023657321527310312,-0.6479909529740158
-4.55051519340008,0.7893385937335795,-3.5609945147291513,2.0856375756644283,0.7745817063169805,-0.03013723105705047,-0.7189578663591871
-4.55051519340008,0.753728648586288,-3.610774480130304,2.093383392727598,0.6631018169596897,-0.03732680972064234,-0.7878171162981771
-4.55051519340008,0.7176209037849849,-3.6600230398170717,2.100014410897195,0.5525731506026785,-0.04520498088362411,-0.8545639128759627
-4.55051519340008,0.6810206733868142,-3.70869415982077,2.105540142403222,0.4426774271442526,-0.05375062001238374,-0.9191786321995836
-4.55051519340008,0.6439337317886065,-3.756751599311826,2.1099669166746646,0.3331069475543599,-0.06294240633437957,-0.9816278256732016
-4.55051519340008,0.6063662157954882,-3.804168921836448,2.1132979861502084,0.2235654650844149,-0.0727586845911116,-1.0418655188143289
-4.55051519340008,0.5683245265771237,-3.850929595932774,2.1155336408010523,0.11376927940496902,-0.08317733977925489,-1.0998347655916105
-4.55051519340008,0.529815230617796,-3.8970272102806978,2.116671333595102,0.0034486605498024875,-0.09417568743517099,-1.1554694356526056
-4.55051519340008,0.49084495851498905,-3.942465817217393,2.1167058202006,-0.10765030214367327,-0.10573038179169705,-1.208696218937968
-4.55051519340008,0.4514203003428151,-3.9872604077220997,2.115629317179163,-0.21976334483148185,-0.11781734398107674,-1.2594368349732132
-4.55051519340008,0.4115476962655941,-4.0314375099067234,2.113431683730848,-0.3331051051507883,-0.13041171233080887,-1.3076104323134214
-4.55051519340008,0.3712333211665269,-4.0750358909242035,2.11010063267934,-0.44786559316097174,-0.14348781665394308,-1.3531361567607327
-4.55051519340008,0.33048296225728485,-4.118107328586537,2.1056219767477304,-0.5642060577069967,-0.15701917822155043,-1.3959358546087701
-4.55051519340008,0.2893018889714195,-4.160717403821005,2.0999799161706605,-0.6822542981911238,-0.17097853676763813,-1.435936858963215
-4.55051519340008,0.24769471493320946,-4.202946248871533,2.0931573731887494,-0.8020995354553185,-0.1853379053572703,-1.4730747832247681
-4.55051519340008,0.20566525244449413,-4.244889170045287,2.0851363778341963,-0.92378703288457,-0.20006865318951797,-1.5072962169408444
-4.55051519340008,0.16321636074404125,-4.286657049795933,2.0758985075053507,-1.0473127465028778,-0.21514161535892642,-1.5385611874341911
-4.55051519340008,0.12034979024608192,-4.328376423837023,2.0654253800403217,-1.172618373378881,-0.23052722723326835,-1.5668452194178508
-4.55051519340008,0.07706602600771169,-4.37018912825926,2.0536991963065327,-1.29958724916581,-0.24619567942744686,-1.592140799427429
-4.55051519340008,0.033364134725119086,-4.412251422949544,2.0407033238148746,-1.4280416018507374,-0.26211708742172113,-1.6144580390822743
-4.55051519340008,-0.010758379504376359,-4.454732524056063,2.026422907796367,-1.5577416809066076,-0.27826166781254386,-1.6338243384301503
-4.55051519340008,-0.05530570474493699,-4.497812521241155,2.0108454909873013,-1.6883872308689674,-0.29459991119684537,-1.6502828847646225
-4.55051519340008,-0.10028382995734854,-4.541679713653622,1.9939616186786115,-1.8196216533980785,-0.31110274004449157,-1.6638898874487729
-4.55051519340008,-0.14570062709388476,-4.586527466936836,1.9757654021446307,-1.9510390008926217,-0.3277416389189793,-1.674710544598901
-4.55051519340008,-0.1915659017632531,-4.632550763418343,1.9562550121357045,-2.0821936822340277,-0.3444887443649683,-1.6828138554647727
-4.55051519340008,-0.23789140939743653,-4.6799426774025035,1.9354330753133642,-2.2126124688925786,-0.361316882919616,-1.6882665184655485
-4.55051519340008,-0.28469083617146157,-4.728891045161702,1.9133069506244385,-2.341808112498711,-0.3781995481042715,-1.691126269322823
-4.55051519340008,-0.3319797466230786,-4.779575605190345,1.8898888694994513,-2.469293672752948,-0.3951108107974997,-1.6914350954463455
-4.55051519340008,-0.37977550267498206,-4.832165854315221,1.8651959327719219,-2.594596549317233,-0.4120251617519632,-1.689212794430604
-4.55051519340008,-0.4280971612181343,-4.886819802268426,1.8392499672787495,-2.717271235900654,-0.42891728969626924,-1.6844513177939926
-4.55051519340008,-0.47696535924081856,-4.943683721243533,1.8120772549197428,-2.8369099656175325,-0.4457618028742092,-1.677110259179378
