th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s),a1 (rad/s^2),a2 (rad/s^2)
1.7618759307426841,-2.996230708656213,2.421773611701298,-1.0327923910207029,-6.641217105764509,-6.717178513651269
1.731913623656122,-3.062642879713858,2.411445687791091,-1.0999641761572156,-6.391893972817502,-7.458880651522904
1.7012871948589834,-3.126561819442033,2.4004460460295185,-1.1745529826724446,-6.1281201658180935,-8.217138467086805
1.670021576664563,-3.187843021100214,2.388700516202794,-1.2567243673433126,-5.84888166484469,-8.989250709880928
1.6381431464535607,-3.2463318377486607,2.3761332725293607,-1.3466168744421219,-5.552824329363919,-9.772448135625444
1.6056798280760742,-3.3018600810423,2.3626671037849394,-1.4443413557983762,-5.2382377360876164,-10.563903261410662
1.5726612272656513,-3.354242458403176,2.3482236902269555,-1.5499803884124828,-4.903050486148975,-11.360733476418568
1.5391188026816196,-3.4032729632646657,2.332723886342831,-1.6635877231766685,-4.544837214422923,-12.159999837156562
1.505086073048973,-3.448721335408895,2.316088009111064,-1.7851877215482341,-4.160837325193878,-12.958704534513652
1.470598859694884,-3.4903297086608336,2.2982361318955817,-1.9147747668933706,-3.7479853646598724,-13.753790485687155
1.4356955626082757,-3.527809562307432,2.279088384226648,-2.0523126717502422,-3.302952893676248,-14.542146774951718
1.4004174669852014,-3.5608390912441945,2.2585652575091455,-2.1977341394997594,-2.82220170606267,-15.320623748551569
1.3648090760727594,-3.589061108304821,2.2365879161141478,-2.350940376985275,-2.302048208234858,-16.086061466012623
1.3289184649897112,-3.6120815903871697,2.213078512344295,-2.5118009916454014,-1.73873869780849,-16.835334922582536
1.2927976490858395,-3.6294689773652546,2.187960502427841,-2.6801543408712267,-1.1285351244873565,-17.565418975656048
1.256502959312187,-3.6407543286101283,2.161158959019129,-2.855808530627787,-0.4678106736462885,-18.273475211100642
1.2200954160260857,-3.6454324353465912,2.132600873712851,-3.0385432827387935,0.2468458090742721,-18.956962040723607
1.1836410916726199,-3.6429639772558486,2.102215440885463,-3.2281129031460294,1.018517896493248,-19.613768084559062
1.1472114519000614,-3.632778798290916,2.0699343118540026,-3.42425058399162,1.8498438320348283,-20.242367300915003
1.1108836639171522,-3.614280359970568,2.0356918060140865,-3.6266742570007704,2.7428947854884,-20.841992300596488
1.0747408603174464,-3.586851412115684,1.9994250634440789,-3.835094180006735,3.6990507397013377,-21.412819698917186
1.0388723461962897,-3.5498609047186704,1.9610741216440115,-4.049222376995907,4.718874779885584,-21.956158032165476
