th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s)
5.454657944964237,-1.630591034924509,4.2664793149118925,-2.8906250807843494
5.438352034614992,-1.6173132161367918,4.2375730641040485,-2.7824992354651945
5.4221789024536236,-1.5990922237820921,4.209748071749397,-2.6775428453941643
5.406187980215803,-1.5761791250601742,4.1829726432954555,-2.575754295189538
5.390426188965201,-1.548819985934238,4.15721510034356,-2.4771317358806093
5.374937989105859,-1.5172550669146099,4.132443782984754,-2.3816706179245997
5.359765438436712,-1.4817181307640124,4.108627076805508,-2.2893616087864235
5.344948257129072,-1.442435863597367,4.085733460717644,-2.2001888717294737
5.330523898493099,-1.3996274088790184,4.063731572000349,-2.114128678376744
5.3165276244043085,-1.3535040114862915,4.042590285216582,-2.0311483252459794
5.302992584289446,-1.3042687666908563,4.022278801964122,-1.9512053234376923
5.289949896622537,-1.2521164668454463,4.002766748729745,-1.8742468306549966
5.277428731954083,-1.1972335368877467,3.984024280423195,-1.800209295516759
5.265456396585205,-1.1397980485481882,3.9660221874680275,-1.729018285491549
5.254058416099723,-1.0799798023864948,3.948732004613112,-1.660588471562632
5.243258618075858,-1.0179404664623242,3.9321261198974855,-1.5948237447931874
5.2330792134112345,-0.9538337605264007,3.9161778824495537,-1.5316174421781512
5.223540875805971,-0.8878056750464697,3.9008617080277723,-1.4708526614471766
5.214662819055506,-0.819994715098249,3.8861531814133006,-1.4124026467439774
5.206462871904523,-0.7505321600957379,3.872029154945861,-1.3561312292903174
5.198957550303565,-0.6795423314507768,3.8584678426529577,-1.30189330920409
5.192162126989058,-0.6071428614861892,3.845448909560917,-1.2495353665510998
5.186090698374196,-0.5334449582334628,3.832953555895406,-1.1988959914532133
5.1807562487918615,-0.4585536620841959,3.820964595980874,-1.149806424646789
5.17617071217102,-0.3825680916001831,3.8094665317344063,-1.1020911012894283
5.172345031255018,-0.3055816770917486,3.798445620721512,-1.0555681920626179
5.169289214484101,-0.22768238182505654,3.7878899388008858,-1.0100501367310692
5.1670123906658505,-0.14895291189897725,3.777789437433575,-0.9653441663192316
5.165522861546861,-0.06947091692750265,3.7681359957703826,-0.9212528109769731
5.164828152377586,0.010690815334522236,3.7589234676606127,-0.8775743914566536
5.164935060530931,0.09146416638222482,3.7501477237460463,-0.8341034929397357
5.165849702194754,0.17278549152784078,3.741806688816649,-0.7906314207587184
5.167577557110032,0.2545954161063546,3.7339003746090618,-0.7469466383835763
5.170123511271096,0.3368386171851274,3.726430908225226,-0.7028351889022506
5.173491897442947,0.419463584143815,3.7194025563362034,-0.6580811021396059
5.177686533284385,0.502422351084829,3.7128217453148076,-0.6124667905418807
5.182710756795234,0.5856701937167301,3.706697077409389,-0.5657734380122557
5.188567458732401,0.6691652831184163,3.701039343029266,-0.5177813870204933
5.195259111563585,0.7528682886367635,3.6958615291590613,-0.46827053052234147
5.202787794449953,0.8367419220921339,3.691178823853838,-0.4170207165026849
5.2111552136708745,0.9207504154651157,3.687008616688811,-0.36381217428333396
5.220362717825526,1.0048589243178172,3.683370494945978,-0.30842597308735686
5.230411307068704,1.0890328493724706,3.6802862352151045,-0.2506445246942871
5.2413016355624285,1.1732370689431382,3.6777797899681617,-0.19025214331290896
5.25303400625186,1.2574350753137788,3.6758772685350327,-0.12703567698970775
5.265608357004997,1.3415880087061294,3.6746069117651357,-0.06078522590042214
5.279024237092059,1.4256535832202055,3.6739990595061314,0.00870503633231244
5.293280772924261,1.5095849001035262,3.6740861098694544,0.08163592167342344
5.308376621925296,1.593329144965327,3.6749024690861885,0.1582021503722952
5.324309913374949,1.676826167159319,3.6764844905899112,0.23859112108066372
5.341078175046543,1.7600069415789388,3.678870401800718,0.32298151322935154
5.358678244462332,1.8427919156117927,3.6821002169330113,0.41154170833463843
5.377106163618451,1.9250892470540828,3.6862156340163574,0.504428019618662
5.396357056088991,2.0067929424553523,3.691259914212544,0.6017827230488657
5.416424985513545,2.087780909702287,3.6972777414430325,0.7037318877483273
5.437302794610567,2.167912943693308,3.704315060320516,0.8103830098053332
5.4589819240475,2.2470286697134165,3.712418890418569,0.9218224608944677
5.481452210744634,2.3249454755670067,3.7216371150275136,1.0381127718528957
